month,orders,revenue
2022-01,34,11772102.74
2022-02,35,12635005.72
2022-03,45,15404543.38
2022-04,39,14095688.2
2022-05,31,11768500.21
2022-06,44,16366468.22
2022-07,44,16191857.57
2022-08,42,15013393.85
2022-09,43,12855947.52
2022-10,42,13411779.9
2022-11,40,13403573.87
2022-12,38,9921088.73
2023-01,49,17776883.11
2023-02,37,13664498.91
2023-03,39,13576807.16
2023-04,48,15175628.67
2023-05,40,13290610.75
2023-06,28,8034544.19
2023-07,45,13824980.54
2023-08,42,15853931.6
2023-09,53,18701879.49
2023-10,49,17849732.25
2023-11,46,16721646.07
2023-12,47,14928147.12
